stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0
72hpf,0,0,0,0,0,0,0.56,0,0,0.28,0,0,0,0,0.28,0.28,0
21Day,1.11,0,0,0,1.85,0,0,0.37,0.74,1.85,0,0,0.37,0,0,0,0.37
3Month,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21
22Month,0.27,0.14,0.14,0.96,0,0.41,0,0,0,0,0.14,0.14,0,0,0,0,0
