stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,2.25,0,0,0,0,29.03,0.85,0.28,0,0.85,0,0,0,2.25,0.56,0,0,0
21Day,0.37,0,1.85,0.74,0.74,0,0,0,0,0,0,0,0,0,0.37,0,0.37,18.5,0.37,2.59,0,1.11,0.74,0,0.37,2.22,0.74,0,0,0.37
3Month,0,0,0.52,0.31,0,0.1,0,0.21,0,0.73,0.1,0,0.21,0.1,0.31,0,0.1,0.1,0,3.95,0.1,0,0,4.58,0,0,0,0.1,1.04,0.1
22Month,0,0.14,0.27,0.14,0,0,0.14,0.14,0.14,0.96,0.14,0,0,0.41,0.14,0.14,0,0.55,0,3.69,0,0,0,3.28,0.14,0.55,0,0,0,0
