stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0.28,0,0,3.66,1.69,0,0,0,1.13,0,0,0.28,0,0,0
21Day,0.74,0,0,2.22,0,1.48,0,0,0.37,0,5.18,0,0,0.37,1.11,0,3.7,0,0,0,0,1.85,0.37,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0.31,0.42,1.46,0.1,0,0.1,0.21,0.31,0,69.48,0.42,1.14,0.31,0.73,0.42,2.18,0.31,0.1,0.42,0.21,0.1,0,0.1,0,0,0.1,1.14,0.83,0.31,0.21,0.1,0.62
22Month,0,0,0,0.55,0,0,0.41,0.27,0.14,0.14,31.57,0.14,0.14,0,0.14,0,1.09,0,0.27,0.14,0,0,0,0.27,0.14,0.27,0,0,0.27,0.14,0,0,0
