stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,8,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0.56,0.56,0.28,0.85,0,0,0,4.51,3.38,0,0.85,0,0.28,0,0
21Day,0.74,0.37,0,1.48,0,0.74,0.37,0,0,0,0.37,0.37,0,0,1.11,0,1.85,0,0,0,4.44,1.48,0,0.74,0,0,0.37,0.37
3Month,0,0,0.1,1.25,0.1,0,0,0.1,0.21,0,3.12,0,0.73,0,0,0.42,0,0.1,0,0.21,0.1,0,0,0,0.1,0,0.31,0.21
22Month,0,0.14,0.14,0.14,0,0,0,0,0.27,0.55,6.42,0,1.37,0,0,0.14,0.68,0,0.14,0,0,0,0.14,0,0,0,0,0
