stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,8,0,0,1,0,0,0,0,0,0,0,2,2,5,0,2,55,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,1.41,2.82,0.85,0.56,0,0,0.56,0,0,0.28,0,0.85,1.97,0,3.95,0.28,6.76,7.61,0.56,0,5.64,0,0,1.13,0,0,0.28,0,0
21Day,0.37,0.37,1.85,0.37,0,0,0,0.37,0,0,0.74,0,0,1.85,0.74,1.48,1.48,0.37,1.48,0,0.37,1.48,0,1.85,0,0.37,0.37,0,0.37,0.37
3Month,0,0,0.31,0,0,0,0,0.1,0.21,0.1,0,0.21,0,0.31,0.21,0.31,0,0,0,0,0,0,0.1,8.11,0,0,0,0,5.2,0
22Month,0,0.14,0.27,0,0,0,0.14,0,0.68,0,0,0.14,0,0.14,0,0.68,0,0,0,0,0,0.14,0,0.55,0,0,0,0,0,0
