stage,Erythrocyte__Liver_,Hepatocyte,Keratinocyte,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,0,0,1,0
21Day,0,0,0.37,0,0
3Month,0,0.42,0,0,0.1
22Month,0.14,2.46,0,0,0
