stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0,1.69,0.56,0.85,0.56,0,0
21Day,0.37,0,0,0,0,0,0,0.37,0,0,0.74,0,0.74,0.74,0,0
3Month,0.52,0,0,0,0.62,0.1,0.21,0,0.42,0.21,0.42,0,0,0,1.46,0.73
22Month,0,0.14,0.14,0.14,2.19,0,0.27,0,0,0.27,0.27,0,0,0.14,0,0
