stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,3,0,5,0,0
72hpf,0.28,0,0,0,0.28,0,0.28,0.56,1.13,0,0.56
21Day,0.37,0,0,0,0,0,0,1.48,0,0.74,0
22Month,0,0.14,0.14,0.14,0,0.14,0,0,0,0,0
