stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,1.41,1.69,0,0,0,0.28,0,0,0.56,0,0,0,0
21Day,0,0,0,0.74,0.74,0,0,0,0,0,0,0.37,0,0,0,0.74,0.37,0,0,0,0,0,0.37,1.48,0,0,0,0,0,1.85,0,0.37,0,0,0
3Month,0.1,0.21,0.31,4.68,0,0.21,0.31,2.29,0,0,5.62,2.29,0.1,2.29,0.62,1.25,4.99,1.56,0.42,0.1,0.62,0.42,0.73,0.21,0.31,0.1,0,0,0.73,170.28,0.1,0,0.62,59.6,0.52
22Month,0,0.14,0.27,0.55,0,0.14,0.14,0.41,0.27,0,5.74,0.41,0,1.09,0.27,0,0.96,0.41,0,0.14,0.14,0.14,0,0,0,0,1.91,0,0,12.03,0.14,0,0,0.14,0
