stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,12,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,2.54,0,0,0,0,0,0.28,0,0,0,0,0.28,0,6.76,0,0.56,0.28,2.25,1.97,0,7.05,0,0,0.28,0,0.28,0,0,0,0
21Day,0.74,0.37,1.11,2.96,0.74,0,0,0,0,0,0,0,0.37,0,0,0,19.61,0,1.85,0,4.81,1.48,0,2.59,0.37,0.37,0,2.59,2.96,0,0,0,0
3Month,0.1,0.21,2.91,1.14,0,0.1,0,0.21,0.1,1.04,0.21,2.18,0.52,0.31,0.52,0.52,10.19,2.08,0.1,0.52,0.31,0,0.1,0.21,0.21,9.26,0.1,0,0,0.1,0.21,1.77,0.31
22Month,0,0,4.65,1.5,0,0,0.14,0,0,2.32,0.55,6.42,0.68,0.55,0.27,2.87,5.33,0.27,0.14,0,0.14,0,0.27,0.14,0,1.78,0.41,0.14,0,0,0,0,0.27
