stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0.28,0.28,0,0.56,0,0,3.66,1.41,0,0,0.28,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,1.48,0,0,1.11,0.37,0,0,0.37,0.37,0,0.37,0,0,0.37
3Month,0,0.1,0.21,0.52,0,0.31,0,1.46,0.1,0,0.62,0,0.83,0.1,0.62,0.1,0.1,0.21,0,0.1,0.1,0.1,0,1.56,0,0.31,0.62,0.21
22Month,0,0,0,0,0,0,0.14,1.37,0,0,0.14,0.14,0.14,0.27,0.14,0,0,0,0,0,0.14,0,0,0.55,0,0,0,0
