stage,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell
72hpf,0,0,0,0,5.92,0.28,0,0
21Day,0.37,0,0,0,1.48,0,0,0.37
3Month,0,0,0.1,0,0,0,0.1,0
22Month,0,0.68,0,0.14,0,0,0,0
