stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,35,13,78,2,5,0,2,218,0,4,9,50,32,131,0,0,1,55,900,2,20,0,0,7
72hpf,0.85,0,23.39,0.28,1.69,0.28,0,0.56,0,0,0.56,9.58,0.56,2.82,0.28,0.28,0,16.63,7.61,0.28,3.38,0,1.69,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.74,0,0,0,0,0,0,0,0.37,0,0
22Month,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0
