stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,1.97,0,0,0,0,0,0,0.28,0,0,0,5.92,3.66,0,1.13,0,0.28,0,0,0.28,0.85,0,0,0.56,0.28,0,0,0,0,0
21Day,1.11,0,7.03,12.21,1.48,0,0.37,0.74,0,0,1.85,0,0.74,24.79,1.11,2.96,0.74,2.96,0,0,0.74,0.74,3.33,1.48,0,0,1.11,0.74,0,0.37,0,0,0.74
3Month,0,0.52,10.51,5.2,0,0.62,0,2.7,1.56,0,6.14,1.35,0,221.76,0.21,1.66,1.25,1.98,0.42,0.1,11.03,0.21,0.21,0,0.73,0.1,0.31,1.66,2.6,0,0.21,9.99,1.35
22Month,0.14,0.68,9.98,2.05,0,0.27,0,5.06,1.78,0.55,16.12,0.41,0.14,340.94,0.27,0.41,0.41,1.09,0.14,0.82,4.37,0,0.27,0,0.82,0.14,0,0.14,2.05,0,0,0.27,0.55
