stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,1.97,0,0,1.97,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,26.49,0,0,0,0,0
21Day,0.74,0,0.74,0.37,1.48,0,0,0,0.37,0,0.37,0,0.37,0,0.37,0,0,0.37,21.83,0.37,0.37,0.37,0,0.74
3Month,0,0.1,0.52,0,0,0.21,0,0,0.1,0,0,0.21,0.1,0.1,0.42,0.1,0,0.21,0.73,0,0.1,0,0.1,0.1
22Month,0.14,0,0.27,0,0,0.41,0.14,0.14,1.23,0.14,0,0,0.14,0,0.14,0.14,0.14,0,0.55,0,0.41,0,0,0.14
