stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0.37,0.37,0.37,0,0,0,0,0,0,0,0,0.37,0.37,4.07,0.37,4.07,0,0.74,0,0,0
3Month,0,0.83,0,0.21,0.21,0.1,0.31,0.1,0.1,0,0.52,0,0.31,0.1,0,5.3,0.21,1.14,0.31,0.21,0.62
22Month,0,0.55,0,0.14,0,0.41,0,0.14,0,0.14,0,0,0,0,0,0.27,0.55,0.14,0,0,0.14
