stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,1,0,3,0,0,0,1,0,0,0,0,3,1,1,0,0,4,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,5.92,0.28,0.56,0,0.28,0,0,1.97,0,0
21Day,1.11,0.37,2.59,1.11,0,0,0,0,0,1.48,0,0.37,0.37,0.37,1.11,36.63,0.74,0,0.74,0.74,0.74,0,0.74,0.37,0.37
3Month,0,0,0,0,0,0,0,0.52,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0,0,0,0.1,0,0,0
22Month,0,0,0,0,0.41,0.14,0,1.78,0,0,0.41,0,0,0,0,0.27,0,0,0,0,0,1.64,0,0,0
