stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,2,0,4,0,0,0,0,0,0,0,0,0,1,2,2,31,0,0,0,12,444,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,3.38,1.41,0.28,0,0,0,0.28,0,0,0,0.56,3.38,0,20.01,0,0.56,0.28,119.5,58.62,0,1.13,22.55,0,0,15.22,0.28,0,0.28,0
21Day,1.48,0,1.11,0,1.48,0,0,0.37,0,0,0,1.48,0,0.37,0.74,33.67,0,0,0,29.6,10.36,0,0.74,6.66,2.59,0,3.33,0,1.11,0.37,0.37
3Month,0,0.1,1.25,0,0,0.1,0.1,0.52,0,1.77,0.1,0.52,0,0.42,0.1,5.93,0.52,0,0,0.52,0.1,0.1,0.21,0,0.1,0.21,0.21,0,0,0,0.1
22Month,0,0,0.68,0,0,0.27,0,0,0.27,4.51,0,0.68,0,0.14,0.41,4.1,0.14,0.27,0.27,0.55,0.14,0.14,0,0.14,0.14,0.82,0,0,0,0,0.14
