stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,1.13,0,0,0,1.69,0,0.28,0.56,40.3,0,0,0,0,0,1.41,2.25,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,1.11,0.37,0,5.18,0,1.85,0,0.74,0,15.54,0,0.37,0.74,52.91,0.37,0.74,2.59,88.8,3.7,0,0,1.11,0,2.22,1.11,0,0.37,0,1.48,1.85,0,0,0.74,1.11,0,0,10.36
3Month,0.1,0.62,0.1,7.07,0.21,0,0.1,0.1,1.04,33.49,0,4.99,1.46,2.18,2.08,0.42,1.56,94.55,1.77,0.42,0.21,0.42,0.42,0.1,0,0.42,0.31,0,0.1,0.31,1.25,0.1,0,0,0.42,1.04,38.07
22Month,0,1.78,0,3.96,0,0,0.55,0,0.41,64.77,0.27,10.25,1.5,0.96,2.87,0.14,0.41,157.15,3.01,0,0.41,0.55,0.14,0.55,0,0.27,0.82,0.14,0,0.41,0.14,0.27,0.14,0,0.27,0,30.75
