stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,26,0,0,0,10,107,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,4.23,1.97,0,8.46,0.56,1.41,0,0,0,0,0.28,0,0,0,0,0.85,18.04,0.28,24.52,0,0.28,0,13.25,18.32,0,0.56,24.24,0.28,0,7.05,0,0,0.28,0,0,0
21Day,7.03,0.74,0.37,32.56,1.11,1.48,0.37,0,0,0.37,0,0.74,0,2.59,1.11,0.74,17.02,3.7,44.4,0,1.11,0,12.58,8.88,0,2.96,9.99,2.96,0,5.92,0.37,2.59,0.74,0,0,3.7
3Month,0.1,0.42,0.21,12.48,0.21,0,0.1,0.1,0.21,1.46,0,2.81,0.73,0.31,0.83,0.31,9.05,0.73,12.69,4.99,0.94,0.21,0,0.1,0.1,0.42,0,0.31,0.73,0.1,0,0,0,0.1,0.31,2.5
22Month,0.14,0.55,0.27,1.37,0.14,0,0,0,0.14,1.37,0,6.01,0.27,0.41,0.41,0,1.09,2.19,7.24,0.14,0.27,0,0,0.14,0,0.41,0,0,0,0.27,0,0,0,0.14,0,0.41
