stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,T_cell
3Month,0.21,0,0.1,0.1,0,0.1,0
22Month,0.14,0.14,1.09,0.96,0.14,0,0.14
