stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,1,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,26.21,2.82,0,0,0.28,0,0,0.28,25.93,18.32,0.28,0,0,0
21Day,3.7,0,0,7.77,0.74,0,0,0.37,0,0.37,0,0.37,0.37,0,3.33,0,4.81,0,0,0.37,0,9.25,2.96,0,0,1.11,0,0,0,47.73,102.12,0.37,0,0,0.74
3Month,0.52,0.31,0,12.59,0,0.1,0.1,0.21,0,8.32,0.21,0,0.73,1.46,0.73,0.62,0.83,0.42,0,4.26,4.06,0.42,0,0,0.31,0,0.1,0.21,0.21,2.7,0.21,0.52,0.1,0.21,1.66
22Month,0.14,0.55,0.14,6.15,0,0.27,0.27,0.96,5.06,8.75,0.27,0.14,0.55,0.68,0.41,0.41,0.41,0,0.27,2.87,0.41,1.09,0,0.27,0.14,0,0,0.41,0.41,47.14,0,0.14,0,0,0.14
