stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,1.69,0,0,0,0.56,0.28,0,0,1.97,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,3.33,0,0,0,0.37,0.74,0,0,2.96,0,0,0,0,0.37,0,0,0
3Month,0,1.87,0.21,2.08,0.52,0.62,3.74,0.83,0.1,1.98,0.42,0.73,0.42,1.04,0.21,0.1,0.21,0.31,0,0.21,0.21,0.1,0.31,5.82,0.1,0,0,0.31,170.48,0.62
22Month,0,5.47,0.14,0.14,0,0.14,3.55,0,0,0.27,0,0,0,0.96,0,0,0,0,0,0,0,0,0,1.09,0,0.14,0,0,0.41,0
