stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,1.69,0,0,0,0.85,0,0,0.28,0,20.86,0,0.28,1.69,2.25,0,0,0,0,0.56,0,0.56,0,0,0,0,0,0
21Day,0,0,0,1.11,0,0,0,0,0,0,0.74,0,0,0,0.37,0,0.37,0.37,0,0,0.74,0,0,0.37,0,0,0,0.37,0.37,0,0,0,0.74,0,0,0,0.37
3Month,0,0.31,0.52,5.1,0.1,0.62,0,0.31,0.83,0,365.52,1.46,0.21,3.64,0.42,1.35,0.52,1.66,0.42,1.56,0.52,0,0.21,0.1,0.42,0.52,0,0,4.16,1.04,0.31,0,0,0,0.94,0.73,1.04
22Month,1.5,15.17,3.69,31.7,0.14,24.46,1.5,3.14,32.39,5.19,4069.83,15.71,4.65,22.14,2.32,5.88,21.04,38.81,1.37,175.05,9.16,0.82,2.73,0.55,3.14,6.42,4.1,1.78,2.73,1.23,1.78,0.96,0,0.27,2.05,0,13.66
