stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0.85,0,0.28,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,1.48,0,0,0,0,0,0,0,0,0,1.11,0.37,0,0,0,0,0,0.74,0.37,0,0,0,0,0,2.22,0,0,0,0,0
3Month,0.94,0.73,16.64,0.31,0.83,1.87,0,13.83,3.02,0.21,4.16,1.35,2.6,2.39,2.91,0.42,0.31,0.94,0.94,0.1,0,0.83,0.31,0,0.1,2.18,100.48,0.21,0.1,1.14,337.12,2.29
22Month,0.14,0.14,3.28,0,0,0.27,0.27,7.38,0.41,0,2.6,0,0.14,0.27,0.41,0,0.14,0,0,0.14,0,0.41,0,5.6,0,0.27,30.2,0,0,0,1.09,0
