stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0.28,0,0,0,0,0,0,0,7.61,0,0,0.28,0,0.56,0,0,0,0,0,0,0
21Day,0.37,21.83,0,1.48,0,0,0,0,1.11,22.2,0,0.37,0,0,0,1.11,0,0,0.37,0,0,0.37
3Month,0,11.13,0.1,0,0.1,0.94,0.1,0,0.52,0.62,0.52,0.21,0.1,0.1,0,0,0.1,0,0,0.31,0.1,0
22Month,0,1.23,0,0,0,1.5,0,0.14,0.14,0.27,0.14,0,0,0,0,0,0,0.14,0,0,0,0
