stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
72hpf,0.56,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0.85,0.56,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0.37,0,0.74,0,0.37,0,0.37,0.74,0,0,0,0.37,0.37,0.37,0
3Month,0,0,0.1,0.1,0.1,0,0.31,0,0.1,0.31,0,0.1,0.1,0,0.21,0,0,0,0,0,0.1
22Month,0,0,0,0.14,0.14,0.27,1.09,0.14,0,0.41,0,0,0.14,0,0,0,0,0,0,0,0
