stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0.85,0,0,1.13,0,0,1.13,0,0,0
21Day,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0.74,0.37,0,0,0,0,0,0,0.37,0,0,0
3Month,10.92,0.1,1.87,0,0.1,0.31,0.52,0,2.39,0.31,0.62,0.1,1.56,0.42,3.22,1.04,0.42,0,0,0.21,0.1,0.21,0.1,0.42,0,1.25,0.52,0
22Month,12.03,0.14,2.6,0.41,0.27,0.14,0.96,3.69,2.73,0.41,0.68,0,2.6,0.82,10.66,0.27,1.23,0,0,0.14,0,0,0,0.41,0.14,0.55,0,0.41
