stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,1,2,3,0,0,0,0,6,0,30,0,0,0
72hpf,0.56,0.28,0.28,0,0,0,0.28,0.28,2.25,0.85,1.69,0.28,0
21Day,1.11,0,0,0.37,0,0,0,3.7,0.37,0,4.07,0,0
3Month,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.1
22Month,0,0,0,0,0,0.68,0,0.14,0,0,0,0,0
