stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,7.77,0,1.11,0,0,0,0.37,0,0,0,0,0
3Month,0,0.42,0.1,4.58,0,3.33,0.42,0,1.87,1.14,0.21,1.14,0.1,0.52,0.42,0.31,0.21,0,38.28,0.1,0,0,0,0.1,1.46,0.21,0.1,0.21,1.04,0.21
22Month,0,0.96,0,1.37,0,0.55,0.27,0.27,10.52,0.14,0.14,1.5,0,0.14,0.41,0.68,0.14,0.14,18.17,0,0,0,0.14,0.14,3.96,0,0.27,0,0,0.14
