stage,Endothelial_cell,Enterocyte,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,0,0.28,24.52,0,0.28,0,0,0,0,1.69,0,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0,11.84,0,0,0,0,0,0,0,0,0.74,27.75,1.11,1.48,0,0,0.74,0,1.11,0,0,0,0.74,0.37,0.37,0.37,0,0,0.37
3Month,0.1,0.21,6.24,0.1,0.52,1.04,0,2.29,0.31,0,2.08,0.21,0.62,1.46,0.42,0.1,0,0.42,0.1,0.1,0,0.1,0,0,0,1.25,0,0.31,0.21,2.08
22Month,0.14,0.41,3.01,0,0.41,0.41,0.41,4.37,0.68,0.27,2.32,0.41,0.55,2.6,0.41,0,0.27,0.27,0.14,0.27,0,0.55,0.14,0,0,1.78,0,0.14,0,0.55
