stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0.28,0,0,0,0,1.69,1.69,0,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0.37,0.74,0,0,0,0,0.37,1.48,0,0.37,0,0.37,0,0,0.74
3Month,0.21,0.1,4.16,0,0,0.1,0,0.1,0.21,0.62,0,2.91,0.52,0.31,0.62,1.04,0.62,2.18,0.52,0.1,0.31,0.52,0.1,0.1,0.31,0.31,0.52,21.12,0.42,73.12,1.14
22Month,0,0,1.5,0,0,0,0,0,0,0.14,0.14,0.27,0,0.14,0.41,0.27,0,2.6,0.14,0.14,0,0,0,0,0,0.14,0,3.01,0,0.27,0.14
