stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,27,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,9,0,0,0,0,0,0,1,0
72hpf,0,0,0,14.37,0.56,0,0.28,0,0,0,0,0,0,0.28,17.76,0,2.25,0,0,0,2.25,2.25,0,0,5.92,0,0.28,0.28,1.13,0
21Day,0.37,0.37,0,9.25,0.74,0,0,0,0,0,0,0.37,0.37,0,3.33,0.37,1.85,0,0,0,2.22,0.37,0,0,0.74,0.37,1.48,0,1.11,0.37
3Month,0,0,0,8.74,0,0,0,0.1,0.42,0,0.62,0,0.21,0.1,5.51,0.21,3.74,0,0.1,0.1,0,0,0.1,0.1,3.22,0,3.12,0,0.21,0.42
22Month,0,0,0.14,0.82,0,0.14,0,0,0.27,0.14,2.73,0.27,0.14,0,1.5,0.27,0.41,0.27,0,0,0,0,0.14,0,1.23,0.14,2.19,0,0.14,0
