stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,43,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,7.33,0.85,0,0,0,0,0,0,0.85,0.28,0,0,0.56,0,0.28,0,0,0,0,0
21Day,0,0,0.37,1.48,0,0,0,0,0.37,0,7.77,0,0.37,1.48,0,0,0,0,0.74,0,0,0,0,0.37,0.37,0,0,0,0,0.37
3Month,0,0.1,3.22,0,0.31,1.04,2.08,1.25,0.1,1.46,72.08,1.04,0.52,1.66,0.42,0.21,0.31,0.42,0.1,0,0.1,0.1,0.21,0.52,13.94,0.31,0,0.83,2.81,1.25
22Month,0,0,0.41,0,0,0.96,1.23,0,0,0,10.8,0,0,0.14,0,0,0,0,0.14,0,0.14,0.14,0,0.41,7.79,0,0.14,0,0,0
