stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,2,1,34,0,0,1,0,0,0,0,0,0,0,0,12,2,10,0,0,0,1,107,0,0,1,0,0,0,0,0
72hpf,0,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0.56,0,0,0,1.69,1.13,0,0,0,0,0.56,0,0,0
21Day,0.74,0,1.48,5.55,0,1.48,0,0,0,0,0,1.11,0.37,0,1.48,0.74,2.22,0,0,0,4.44,1.11,0,0.37,1.11,0,1.11,0.37,0,0
3Month,0,0.1,15.08,0,1.04,0,0.21,0,0,0.31,0.21,0,0.21,0.21,0.62,0.42,0,0,0.21,0.52,0,0,0.1,0,0,0.42,0,0,0.31,0.62
22Month,0,0.55,14.89,0,0.55,0,0.14,1.23,45.5,9.16,0.68,0,2.05,0.14,0.14,1.91,1.23,0.41,0.55,0.27,0.27,0,0.41,0.14,0,0.27,0.27,0,0,0.68
