stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,18,7,0,45,0,0,0,12,0,0,0,0,3,83,18,54,0,0,22,308,1,0,20,0,0,0,5
72hpf,0,0,0,1.97,0.28,0,0,0,0,0,0,0,0.28,21.42,0,0.85,0.28,0,4.23,1.13,0,0,1.13,0.85,0.28,0.28,0.28
21Day,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0.37,0,0,0.74,0,0,0
3Month,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0
22Month,0,0.96,0.27,1.09,0,0.96,0.41,0,6.83,0.27,0.27,0.41,0,0.41,0.14,1.09,0.27,0.41,0,0,0,30.88,0,0,0,0,0
