stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0.28,0.56,0,0,0,0,0
21Day,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,1.85,0,0.37,0,0,0,0,0
3Month,0,0,0.62,0.31,0.21,0,1.35,0.31,0,0.62,0.1,0.1,0.21,0.1,0.1,0,0,0.21,0.1,0,0,0.31,2.91,0.1,0.42,0.21
22Month,0,0.14,0.41,0.14,0.68,0.41,3.69,0.41,0.14,0.27,0.14,0,0.55,0.27,0,0.14,0.14,0,0,0,0.14,0,0.41,0,0,0
