stage,Epithelial_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0.28,4.79,0,0,0,0,0,0,0
21Day,1.85,0,0,0.37,0.37,0.37,0,0,0.37,0,0,0,0
3Month,3.22,0,0.42,0.1,0,0,0.1,0.1,0,0.1,1.98,0.1,8.43
