stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0.85,0,0,0.85,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0.74,2.96,0,0.37,0,0,0,0,0,0.37,2.22,0.37,0.37,0,1.11,0,0,0,0,0.37,0.37,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0.1,0.62,6.76,0,0,1.77,0.1,0,3.85,0.62,0,18.72,0.1,0.73,0.21,1.25,0,0,0.31,0.21,0,0,0.1,0.42,0,0,0.21,3.33,0.1,0.31,1.14,0.1
22Month,0.14,0.41,0,2.87,0,0,1.37,0.27,0.41,23.09,0.14,0,27.88,0.14,0.14,0.14,2.19,0.27,0.27,0.14,0,0,0,0,0,0.27,0,0,1.91,0,0,0,0
