stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,2,0,0,11,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0.28,0,0.28,0.28,0,3.38,1.69,0.85,0.56,0,0,0.28,0,0
21Day,0.74,0.37,0.37,0.37,1.85,0.37,0.37,0,0,0.37,1.48,0,1.48,1.11,0.37,0,0.74,0.74,0,0,0.37
3Month,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0
22Month,0,0,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.14,0
