stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,1.13,0,3.66,1.13,0,0,0.56,0,0,0.28,0.28,0,0
21Day,0,0,0,0.37,0,0,0,0,1.11,1.11,2.96,0,0.37,0,0.37,0.37,0,0,0,0,0
3Month,0,0,0.21,0,0.42,1.04,0.21,0.21,0.31,0.1,0,0,0,0,0,0,0.42,0,0,0.21,0.31
22Month,0,0.14,0,0,0.82,0,0.27,0,0,0,0,0,0,0.14,0,0,0.27,0.14,0,0,0.14
