stage,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.85,0,0
21Day,0,0.37,0,0,0,0,0,1.48,0,0
3Month,0.21,0,0,0,0.21,0,0,0,0.21,0.1
22Month,0,0,0.68,0.27,0,0,0.14,0,0,0
