stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,23,1,0,0,0,0,0,2,0,0,0,0,1,35,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,15.5,1.13,0.85,0,0,0,0,0,0,0,0,0,3.38,108.79,0,0.85,0.56,0,0,3.95,2.54,0,0,1.97,0,0,0.28,0,0,0,0,0
21Day,1.11,0,0,73.63,1.85,1.11,0,1.11,0.74,0,0,0.37,0,0,0,4.44,83.99,0.74,1.48,0,0,0,4.81,1.48,0.37,0,0.37,0.74,0,0.37,0.74,0.37,0,0,0
3Month,0,0.31,0,40.25,0.42,0,0.31,5.2,0.1,0,0,3.74,0.62,0,0.52,3.02,8.11,1.56,0.73,0,0.31,0.31,0.52,0,0.94,0,0,0.83,1.56,0,0,0,0.62,31.83,0.31
22Month,0,0.14,0.55,11.75,0.14,0,0.14,2.46,0.68,0.14,0,5.88,0.14,0.14,0.82,0.96,2.87,1.09,0.68,0.14,0,0,0.14,0.14,0.96,0.14,0,0,0.41,0.14,0,0,0,0,0.27
