stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,14.94,0,0,0,0,0.85,0.85,0,0.28,0,0,0,0,0,0
21Day,0.37,0,2.22,0.37,0.37,0,0,0,0.74,0.37,0.74,0,0,38.48,0.37,0,0,0,1.11,0.37,0,0,0.37,0,0.37,0,0,0.37
3Month,0,0,1.25,0,0,0.1,0.1,0.42,1.04,0.1,0,0.42,0.1,15.71,0.21,0.1,0.1,0.1,0.21,0,0,0,0.73,1.14,0,0,0.21,0.31
22Month,0,0.27,0.41,0,0,0,0.14,0.14,2.87,0.14,0,0.82,0,14.62,0,0,0,0,0,0,0.14,0,0.27,0,0,0.14,0,0
