stage,Cardiomyocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Retinal_pigment_epithelial_cell
72hpf,0.28,0,0,0,1.97,0,0,0.28
21Day,0,0.37,2.96,0,0.37,0.37,0.37,0
3Month,0,0,0,0.21,0,0,0,0
