stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,1,12,1,0,0,1,2,0,0,0,3,5,4,100,0,0,23,552,0,0,10,0,0,0,0,0,0,0,0,0
72hpf,5.07,1.69,3.1,0.85,0.56,0.28,0,0,0,0.85,0,2.82,3.1,0.85,14.94,0.56,0,20.29,79.2,0.28,0,9.02,0.56,0,1.97,0,0,0.56,0,0,0
21Day,8.51,0.37,9.99,0,1.48,3.7,0.37,0,0,3.7,0.37,0.37,2.59,1.85,18.13,0.37,1.48,4.07,24.05,0.37,0.74,2.96,0.37,0,1.48,0.37,0.37,0.37,0,0,0.37
3Month,0,0,0.62,0,0,0.1,0,0,0.31,0,0.31,0.21,0.1,0.1,0.1,0,0,0.1,0,0,0,0,0,1.46,0,0,0,0,0.1,0.21,0
22Month,0,0,0,0,0,0,0.14,0,0.82,0,0.41,0,0,0.14,0.68,0,0,0,0,0,0.14,0,0,0.55,0,0,0,0,0,0,0
