stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.13,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,9.02,1.41,0.28,0.56,0,0,0.56,0,0,0,0,0
21Day,0,0,0,1.85,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0,0,0,7.03,1.11,0,0,0,0.37,0,0,0.37,0,0,0
3Month,0,0,1.14,0,0,0,0.1,0.1,0,2.39,0.21,0,2.08,0.21,0,0,0,0,0,0.52,0,0,0,0.1,3.22,0,0,0,0.1,26.52,0
22Month,0,0.96,1.09,0,0,0.14,0.14,1.23,1.09,50.83,0.41,0.27,3.55,0.27,0.14,0.55,1.64,0.68,0.55,0.55,0,0,0,0.27,0.82,0.14,0.27,0,0.27,0,1.09
