stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,4.23,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0,1.13,0,8.46,0,1.41,0,0,3.38,1.97,0.28,0,23.68,0,0,0,1.41,0.56,0.56,0,0,0
21Day,1.85,0,0,4.07,0.37,1.11,0,0,0,0,0,0,4.81,0,1.85,0,0.37,1.85,0.74,83.99,0,0,1.48,0,4.07,3.33,0,0,47.73,2.59,0,0,1.11,2.22,1.11,0,0,0.74
3Month,0.21,0.21,0.31,2.91,0.1,0,0.62,0,0.1,0.42,1.46,0.1,82.8,1.04,0.21,2.6,0.31,2.39,0.83,15.5,0.73,0,1.87,0.42,4.47,0,0,0,0.52,1.77,0.83,0.1,0.1,0,0.94,3.22,0.52,0.42
22Month,0,0.55,0.27,1.78,0,0,0.55,0.14,0,0.27,2.87,0.55,226.02,0.82,0.14,1.5,0,0.55,1.09,3.28,0,3.42,0.55,0,0.41,0,0.41,0.14,0.14,0.41,0.41,0.14,0,0,0.14,0.14,0,0.41
