stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,2,45,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,1.97,1.41,0.85,0.85,0,0.28,0,0,0,0,0,0,0.56,1.13,0,6.48,0,0.28,0,9.58,15.78,0.28,0.28,4.23,0.56,0,0.56,0.28,0,0,0
21Day,1.48,0,4.07,0,7.4,0,1.48,0,0,0.37,0,1.48,0,0,1.85,0.74,5.18,0,0,0.37,1.48,2.59,0.37,0.37,0.74,0.37,0,0,0,0,0,2.59
3Month,0,0.1,1.98,0,0,0.1,0,0.52,0,0.73,0.52,0.52,0.31,0,0.1,0.31,0.31,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0,4.37,0,0,0.62,0.52,4.26
22Month,0,0.14,0,0,0,0,0,0.41,0.27,0.82,0,0,0.14,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
