stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,8,0,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,1.13,0.56,0.56,0,0,0,0,0,0,0,0,0,0,0.28,1.13,0,3.66,0,0,0,16.07,10.71,0.28,0,0.28,0,0,0.56,0,0.28,0,0,0
21Day,1.11,0,3.33,0,2.59,0,1.85,0,0.37,0,0,0,0,0,0,0,0,0,7.03,0,0.74,0,5.18,3.33,0,0,0.74,0,0,1.11,0.37,0,0,0,0.37
3Month,0,1.04,6.35,0,0,0.21,0.21,0.42,0.42,0,0,9.26,0.52,0.42,3.02,0.73,3.12,1.35,2.91,0.73,0.21,0.42,0.42,0.31,0.31,0.21,0.1,0.31,14.25,0,0,0,0.52,3.02,1.77
22Month,0,0.14,0.96,0,0,0.14,0.14,0,0.14,0.27,0,2.73,0.14,0.27,0.41,0,0,0.27,0.41,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.27
