stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0.1,2.7,2.39,0.62,0.21,1.87,0.83,3.64,1.04,0.1,154.78,0.21,0.62,0.42,0.42,0.1,0.52,0.1,0.31,0,0.73,0.94,0,0.1,0.1,0.94,0.52
22Month,0,1.37,0.96,0,0,0.68,0.55,1.5,0.27,0,25.14,0,0,0.14,0.14,0.14,0,0,0,0.14,0,0,0.14,0,0,0,0
