stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,3,6,0,0,0,0,0,0,0,2,3,8,0,3,66,0,0,0,0,0,0
72hpf,0.28,0.28,0.85,0.85,0.28,0.28,0,0,0,0.56,0.85,0,2.25,0.28,11.84,11.56,0.56,2.54,0,0.56,0,0.28
21Day,1.11,0,2.96,0,0,0,0,0,0,0,0.37,0,2.96,0,3.7,2.59,0,1.11,0.37,0.74,0.37,0.37
3Month,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
22Month,0,0,0.14,0,0,0,0.14,0.96,0.14,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0
