stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,3,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.54,0,0,0,0,0.28,0,0,0,0.28,0,0,0,12.68,0.56,6.76,0.85,0,10.15,0,0,3.38,2.25,0,0,0,0,3.1,0,0,0,0,0,0,0,0
21Day,0.74,0,3.7,3.7,1.85,0,0.37,0,2.22,0,0,0,19.24,0,0,5.55,0,2.59,8.88,5.18,0,0,0.37,0,2.59,2.59,1.48,0.37,0,0.74,2.22,0.74,0.74,0,1.11,0,0,0,0
3Month,0.1,1.25,7.8,91.01,0,1.98,0.42,0.21,80.09,6.03,0.1,0,592.58,6.55,0.73,274.29,1.87,6.45,27.25,4.16,1.14,0.94,29.33,3.02,0.94,0.1,6.87,1.14,0,0.52,8.11,56.59,0.42,0.21,0,0.21,2.29,10.09,4.78
22Month,0.14,2.6,7.38,115.47,0,3.01,0,0.14,39.9,8.06,1.91,0,1151.27,3.96,0.55,201.69,0.55,0.68,15.3,4.37,0.41,23.09,13.94,0.14,0.27,0.55,3.55,2.19,1.64,0.27,1.5,15.44,0.96,1.09,0,0,0,0,1.64
