stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0.28,0.28,0,1.97,0,0.28,0.56,0.28,0,0,0.28,0,0.28,0
21Day,0.74,0.37,1.85,0.37,0.37,0,0,0,0,0,0,0.37,0,4.07,0,0,0,0.74,0,0,0.74,0,0.37,0
3Month,0,0,0.52,0,0,0.31,0,0,0.21,0.21,0.31,0.21,0.1,1.25,0.21,0,0,0,0,0,0,0.1,0,0
22Month,0,0,1.09,0.14,0,0.41,0.14,0.14,1.78,0,0,0.14,0,3.55,0,0.14,0,0,0.27,0.14,0,0,0.55,0.14
