stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Retinal_cell
24hpf,0,0,0,0,0,0,1,0
22Month,0.27,0.14,0.14,0.27,10.11,0.14,0,0.14
