stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,19.45,0,0.28,0,0,0,0,0,0,0,1.13,2.54,0,3.1,0,0.28,1.41,0,0,0,0.56,0,0,0,0.56,0
21Day,52.54,1.48,1.11,0.37,0,0.37,8.14,1.48,0.37,0.37,1.11,2.59,3.7,0,0.37,2.59,2.22,0,0.37,0,1.48,1.48,0,1.48,0,0.37
3Month,0,0.1,0,0,0,0.21,3.02,0,0,0,0.21,0,0.1,0,0,0.1,0,0.1,0,0,0,0.1,0.31,0,0,0
22Month,0,0.14,0,0,0.14,0.27,8.34,0,0,0,0,0,0,0.14,0,0,0,0,0.14,0.14,0,0,0.27,0,0,0
