stage,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Spermatocyte
72hpf,0.28,0.28,0,0,0,0,0.28,14.37,0.28,0.28,0
21Day,0.74,0.37,0,0,0,0,0,7.4,0.37,0,0
3Month,0.1,0,0.31,0.1,0.1,0,0,0.21,0,0,0.21
22Month,0,0,0.27,0.14,0,0.27,0,0.14,0,0,0
