stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0.28,0,1.13,0,0,0,0,0,0,0,2.25,0,0.56,0,0,0,0,0,0,0,0
21Day,2.59,5.18,2.59,1.11,1.11,0.37,1.11,0.37,2.22,0.37,11.84,1.11,7.03,4.07,0.37,1.85,1.11,1.48,1.48,0.37,0.37
