stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0.28,1.41,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0.37,0,0,0,2.22,3.7,0,0,0,0,0.74,1.11,0,0,0.37,0,0,0.37,0,0.37,0,0
3Month,0.1,0,0.21,1.25,0.1,0.42,0.21,73.96,0.21,1.56,0.21,0.42,7.49,0.52,0.52,0.52,0.31,0.21,0.21,0.1,0,0,0.83,4.06,0,0,0,4.58,0.21
22Month,0.14,0.27,0,2.32,0,0.41,0.55,52.75,0.14,6.15,0.27,0.14,7.79,0.55,2.05,0.14,0,0,0,0.41,0.14,0,0,0.27,0,0.55,0,0,0.14
