stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,3,0,18,0,0,0,0,0,0,12,0,0,0,0,15,7,3,7,0,0,0,0,1,32,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0.85,0,16.63,3.95,3.66,0,0,0,0,0,0,0,0.56,0,8.46,20.86,0,3.38,0,1.13,0,0,18.6,11.84,1.97,0,1.13,0,0,1.97,0,0,0,0,0
21Day,1.11,0,0.37,50.32,2.59,1.48,0,1.48,0,0,0,0.37,0,1.85,0.37,2.22,22.2,0.37,2.22,0,0,1.85,0,6.29,5.18,2.96,0,1.11,1.85,0,0.37,1.11,0.37,0,0,0
3Month,0,0.1,0.62,27.67,0,0,0.1,2.81,0.52,0,0,10.19,0.52,0.1,1.77,13.94,5.3,0.62,0.83,0.21,0,4.16,0.42,0.94,0.21,2.81,0.1,0,0.31,2.7,0.1,0,0,0.42,19.14,0.73
22Month,0,0.27,0.14,11.07,0,0,0.41,1.09,0.82,0.27,0,12.98,0,0,2.05,1.91,1.37,0.68,1.23,0,1.09,2.19,0.14,0.41,0,2.87,0,0,0.27,0.41,0,0,0,0,0,0.27
