stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,T_cell
24hpf,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,1.13,0,0,0
21Day,0.37,0,0,0,0.37,1.48,0,0,0
22Month,0.14,0.14,0.14,0.14,0,0,0.14,0.27,0.14
