stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20,5,0,115,0,0,1,0,1,0,3,0,0,0,0,13,8,7,198,0,0,0,0,108,1636,0,0,3,0,0,0,0,0,1,0,0,0
72hpf,12.68,3.66,0,12.97,1.41,6.48,0.56,0,0,0,0,0,0,0.28,0,12.68,74.41,1.41,135.29,0,0.28,1.13,0.28,472.94,216.18,1.13,3.66,40.87,0.28,0,41.43,0.56,0,1.13,0,0,0
21Day,10.36,3.7,0.74,18.87,0,8.51,1.85,0.37,0.37,0,0,2.22,0,4.44,1.85,3.33,8.88,2.59,265.65,0,0,4.81,0,93.24,67.71,0.37,4.44,23.31,15.17,0,10.36,0.37,3.7,1.11,1.48,0,0.74
3Month,0.21,0.62,1.46,2.91,0,0,0,3.43,0,0,0,1.77,0.42,0,4.89,0.73,0.73,0.62,6.24,0.1,0,1.04,0.1,0.21,0,0.52,0.1,3.54,0.42,0.21,0.1,0,0,0,20.7,0.21,0.31
22Month,0,0.68,0.82,0.55,0,0,0,0.55,0.41,0.14,0,3.01,0,0,5.06,0.14,0.14,0.27,1.23,0,0,0.14,0,0,0,0,0,1.64,0.14,0.14,0,0,0,0,0.96,0,0
