stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.28,0,1.13,0.85,0,0,0,0,0,0.56,0,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,0.74,0,0.37,0,0,0.37,0,1.11,0,0,0,0,1.48,1.11,0,0,0,0,0.74,9.99,0,0,0,0,0
3Month,0.31,1.04,0.83,10.4,0.42,0.21,0.1,1.25,2.39,0.1,12.07,3.22,0.31,6.45,1.04,3.22,3.12,3.54,0.52,0,0.83,1.98,1.04,0.21,1.35,0.31,0,0.1,3.85,451.02,0.52,0.1,2.08,75.93,2.29
22Month,0,0,0.14,0.55,0,0,0,0.27,0.41,0,5.19,0,0.14,2.05,0,0,0.14,0.68,0.14,0.41,0.14,0,0.27,0.14,0.14,0,0.68,0,0.68,68.46,0,0,0,0.27,0.14
