stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,9,0,0,0,0,0,1,0,0,0,0,3,90,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,3.1,0.28,0,0,0,0,0,0,0,0,0,5.36,67.08,0.28,0.85,0,0,0,0,5.07,2.25,0,0,0.28,0,0,0,0,0,0,0,0
21Day,1.11,0,0,23.68,0,0.74,0,0,0,0,0,0,0.37,0,2.96,19.61,2.96,1.11,0,0,0.74,0,0.37,0.37,0.37,0,0,0.37,1.48,0,0.37,0.37,0,0,0.37
3Month,0,0.1,0.1,35.89,0.1,0,0.21,0.31,0.31,0,3.85,0.62,0.1,0.94,6.35,1.46,0.62,0.42,0.1,0.1,0.21,0.52,0.42,0,0.42,0.1,0,0.73,67.82,0.1,0,0,0.42,61.89,0.31
22Month,0,0.14,0.14,6.29,0,0,0,0.14,0.55,0.14,2.6,0.14,0.14,0.55,1.23,0.27,0.27,0.41,0,0.41,0.14,0,0.27,0,0,0,0,0,6.42,0,0,0,0,0.14,0
